[2021-10-30 16:40:55] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 16:40:56] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 16:40:56] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[630163200]
[2021-10-30 16:40:56] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[621770496]
[2021-10-30 16:41:26] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 16:41:26] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 16:41:27] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[125822720]
[2021-10-30 16:41:27] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[117430016]
[2021-10-30 16:42:24] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 16:42:24] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 16:42:24] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[109037312]
[2021-10-30 16:42:24] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[100644608]
[2021-10-30 16:43:30] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 16:43:31] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 16:43:31] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1016010496]
[2021-10-30 16:43:31] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[671086336]
[2021-10-30 16:44:22] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 16:44:23] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 16:44:23] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[847234816]
[2021-10-30 16:44:23] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[838842112]
[2021-10-30 16:44:26] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 16:44:28] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 16:44:28] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[634361600]
[2021-10-30 16:44:28] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[625968896]
[2021-10-30 16:44:47] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 16:44:48] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 16:44:48] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1266673408]
[2021-10-30 16:44:48] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1258280704]
[2021-10-30 16:46:28] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 16:46:29] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 16:46:29] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1711298816]
[2021-10-30 16:46:29] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1719691520]
[2021-10-30 16:48:51] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 16:48:53] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 16:48:53] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-2304]
[2021-10-30 16:48:53] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-8395008]
[2021-10-30 16:50:19] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
